iter	Passed	Remaining
162	1253	6435
163	1261	6432
164	1269	6423
165	1275	6407
166	1281	6394
167	1288	6379
168	1295	6368
169	1301	6354
170	1308	6343
171	1314	6330
172	1321	6316
173	1328	6305
174	1334	6292
175	1341	6280
176	1347	6266
177	1353	6252
178	1360	6240
179	1366	6225
180	1372	6212
181	1383	6216
182	1389	6203
183	1395	6190
184	1402	6176
185	1408	6166
186	1415	6156
187	1422	6144
188	1428	6129
189	1434	6116
190	1440	6101
191	1446	6088
192	1453	6076
193	1463	6079
194	1469	6064
195	1475	6052
196	1481	6039
197	1488	6028
198	1494	6015
199	1501	6007
200	1508	5994
201	1514	5981
202	1520	5970
203	1526	5956
204	1532	5943
205	1540	5937
206	1546	5923
207	1552	5910
208	1558	5897
209	1564	5884
210	1570	5873
211	1576	5861
212	1582	5847
213	1589	5837
214	1595	5824
215	1601	5813
216	1607	5801
217	1613	5788
218	1620	5778
219	1626	5766
220	1632	5755
221	1639	5746
222	1646	5735
223	1653	5728
224	1659	5716
225	1666	5706
226	1673	5697
227	1679	5685
228	1685	5675
229	1691	5664
230	1698	5654
231	1704	5643
232	1710	5632
233	1718	5626
234	1725	5617
235	1734	5614
236	1741	5605
237	1747	5595
238	1753	5583
239	1760	5573
240	1766	5564
241	1773	5555
242	1779	5544
243	1785	5533
244	1792	5522
245	1799	5515
246	1805	5505
247	1812	5497
248	1819	5486
249	1825	5476
250	1831	5466
251	1838	5455
252	1844	5445
253	1850	5434
254	1856	5423
255	1863	5415
256	1869	5404
257	1875	5394
258	1882	5384
259	1888	5374
260	1894	5364
261	1901	5354
262	1909	5349
263	1915	5339
264	1921	5328
265	1926	5317
266	1933	5306
267	1939	5297
268	1945	5285
269	1950	5274
270	1957	5266
271	1963	5254
272	1969	5243
273	1975	5233
274	1980	5222
275	1987	5213
276	2035	5313
277	2043	5307
278	2051	5302
279	2059	5294
280	2064	5283
281	2071	5274
282	2077	5264
283	2085	5257
284	2092	5248
285	2098	5239
286	2105	5230
287	2112	5221
288	2119	5213
289	2125	5204
290	2132	5196
291	2139	5187
292	2145	5177
293	2152	5169
294	2158	5159
295	2165	5150
296	2171	5140
297	2184	5145
298	2190	5135
299	2196	5125
300	2203	5117
301	2210	5108
302	2231	5132
303	2237	5122
304	2243	5111
305	2249	5102
306	2255	5092
307	2262	5082
308	2268	5072
309	2276	5066
310	2283	5058
311	2289	5048
312	2297	5041
313	2303	5032
314	2310	5023
315	2316	5014
316	2322	5004
317	2328	4994
318	2334	4984
319	2340	4974
320	2347	4964
321	2353	4955
322	2359	4946
323	2365	4936
324	2372	4926
325	2378	4918
326	2385	4908
327	2391	4899
328	2397	4890
329	2404	4881
330	2410	4872
331	2416	4861
332	2422	4851
333	2428	4842
334	2434	4833
335	2441	4825
336	2447	4815
337	2454	4806
338	2460	4797
339	2466	4787
340	2472	4779
341	2479	4769
342	2484	4759
343	2491	4750
344	2497	4741
345	2504	4733
346	2510	4724
347	2516	4715
348	2522	4705
349	2529	4696
350	2535	4688
351	2541	4679
352	2547	4669
353	2554	4661
354	2560	4651
355	2566	4642
356	2572	4633
357	2578	4624
358	2585	4615
359	2590	4605
360	2596	4596
361	2603	4588
362	2609	4579
363	2617	4573
364	2623	4564
365	2629	4554
366	2635	4546
367	2641	4537
368	2648	4528
369	2654	4519
370	2660	4510
371	2666	4501
372	2672	4492
373	2678	4483
374	2684	4474
375	2690	4465
376	2696	4456
377	2704	4449
378	2710	4440
379	2718	4435
380	2724	4426
381	2730	4417
382	2736	4408
383	2742	4399
384	2748	4391
385	2755	4382
386	2761	4374
387	2767	4365
388	2773	4356
389	2779	4348
390	2785	4338
391	2792	4330
392	2798	4321
393	2804	4312
394	2810	4304
395	2816	4295
396	2822	4286
397	2828	4278
398	2835	4270
399	2874	4311
400	2882	4305
401	2890	4300
402	2899	4294
403	2907	4289
404	2914	4282
405	2921	4273
406	2927	4265
407	2933	4256
408	2940	4249
409	2946	4240
410	2953	4232
411	2960	4224
412	2966	4216
413	2973	4208
414	2979	4200
415	2987	4194
416	2993	4185
417	2999	4176
418	3006	4168
419	3012	4160
420	3019	4152
421	3028	4148
422	3035	4140
423	3041	4131
424	3047	4123
425	3053	4114
426	3059	4105
427	3065	4097
428	3074	4092
429	3081	4084
430	3087	4076
431	3093	4067
432	3100	4059
433	3106	4051
434	3113	4043
435	3119	4035
436	3125	4027
437	3131	4018
438	3138	4010
439	3144	4001
440	3150	3993
441	3156	3985
442	3163	3977
443	3169	3968
444	3175	3960
445	3181	3951
446	3187	3943
447	3193	3934
448	3199	3926
449	3205	3917
450	3211	3908
451	3217	3900
452	3223	3892
453	3229	3884
454	3235	3875
455	3242	3867
456	3248	3860
457	3255	3852
458	3261	3844
459	3267	3835
460	3273	3827
461	3280	3819
462	3286	3811
463	3292	3803
464	3298	3795
465	3304	3786
466	3311	3779
467	3317	3771
468	3323	3763
469	3330	3755
470	3336	3747
471	3343	3740
472	3349	3731
473	3355	3723
474	3362	3715
475	3368	3707
476	3374	3699
477	3380	3691
478	3386	3683
479	3393	3676
480	3399	3668
481	3405	3660
482	3411	3651
483	3417	3643
484	3426	3638
485	3433	3631
486	3440	3624
487	3447	3616
488	3453	3609
489	3460	3602
490	3466	3593
491	3473	3586
492	3479	3578
493	3485	3570
494	3492	3562
495	3497	3554
496	3504	3546
497	3510	3538
498	3516	3530
499	3523	3523
500	3529	3514
501	3535	3507
502	3542	3499
503	3548	3491
504	3554	3484
505	3560	3476
506	3567	3469
507	3573	3461
508	3579	3453
509	3631	3489
510	3639	3483
511	3648	3477
512	3656	3471
513	3662	3462
514	3669	3455
515	3675	3447
516	3682	3440
517	3689	3432
518	3695	3424
519	3701	3416
520	3708	3409
521	3714	3401
522	3720	3393
523	3728	3386
524	3734	3378
525	3741	3371
526	3748	3364
527	3755	3356
528	3762	3349
529	3768	3341
530	3775	3334
531	3781	3326
532	3787	3318
533	3794	3311
534	3800	3302
535	3806	3295
536	3818	3292
537	3825	3284
538	3831	3276
539	3837	3269
540	3844	3261
541	3865	3266
542	3871	3258
543	3879	3251
544	3885	3243
545	3892	3236
546	3898	3228
547	3904	3220
548	3911	3213
549	3918	3206
550	3925	3199
551	3932	3191
552	3939	3184
553	3945	3176
554	3951	3168
555	3958	3161
556	3964	3153
557	3970	3145
558	3977	3137
559	3983	3129
560	3989	3122
561	3996	3114
562	4002	3106
563	4008	3098
564	4015	3091
565	4021	3083
566	4027	3075
567	4033	3067
568	4039	3060
569	4046	3052
570	4052	3044
571	4058	3036
572	4065	3029
573	4071	3021
574	4077	3013
575	4083	3006
576	4089	2998
577	4095	2990
578	4102	2983
579	4108	2975
580	4115	2967
581	4121	2959
582	4127	2951
583	4134	2944
584	4140	2936
585	4146	2929
586	4152	2921
587	4158	2913
588	4165	2906
589	4170	2898
590	4177	2890
591	4183	2883
592	4190	2875
593	4196	2868
594	4202	2860
595	4208	2853
596	4215	2845
597	4221	2837
598	4227	2830
599	4233	2822
600	4240	2815
601	4246	2807
602	4252	2800
603	4259	2792
604	4267	2786
605	4273	2778
606	4280	2771
607	4287	2764
608	4294	2756
609	4300	2749
610	4307	2742
611	4313	2734
612	4319	2727
613	4326	2719
614	4332	2712
615	4339	2705
616	4345	2697
617	4352	2690
618	4359	2683
619	4365	2675
620	4372	2668
621	4379	2661
622	4385	2653
623	4392	2646
624	4398	2639
625	4405	2632
626	4412	2625
627	4419	2618
628	4425	2610
629	4431	2602
630	4438	2595
631	4444	2587
632	4450	2580
633	4456	2572
634	4463	2565
635	4517	2585
636	4526	2579
637	4532	2571
638	4539	2564
639	4545	2556
640	4552	2549
641	4558	2541
642	4565	2534
643	4572	2527
644	4579	2520
645	4586	2513
646	4593	2506
647	4599	2498
648	4606	2491
649	4613	2484
650	4619	2476
651	4626	2469
652	4633	2462
653	4639	2454
654	4645	2446
655	4655	2441
656	4661	2433
657	4668	2426
658	4674	2418
659	4695	2418
660	4701	2411
661	4707	2403
662	4713	2395
663	4719	2388
664	4725	2380
665	4733	2373
666	4739	2366
667	4747	2359
668	4754	2352
669	4760	2344
670	4766	2337
671	4772	2329
672	4779	2322
673	4785	2314
674	4791	2307
675	4797	2299
676	4804	2292
677	4810	2284
678	4817	2277
679	4823	2269
680	4829	2262
681	4835	2254
682	4842	2247
683	4848	2239
684	4854	2232
685	4860	2224
686	4866	2217
687	4872	2209
688	4878	2202
689	4884	2194
690	4891	2187
691	4897	2179
692	4903	2172
693	4909	2164
694	4915	2157
695	4921	2149
696	4927	2142
697	4933	2134
698	4941	2127
699	4947	2120
700	4953	2112
701	4959	2105
702	4965	2097
703	4972	2090
704	4978	2083
705	4984	2075
706	4990	2068
707	4996	2060
708	5002	2053
709	5008	2045
710	5014	2038
711	5022	2031
712	5028	2023
713	5034	2016
714	5040	2009
715	5046	2001
716	5053	1994
717	5059	1987
718	5065	1979
719	5071	1972
720	5077	1964
721	5083	1957
722	5089	1949
723	5095	1942
724	5104	1936
725	5110	1928
726	5117	1921
727	5123	1914
728	5130	1907
729	5135	1899
730	5143	1892
731	5149	1885
732	5155	1877
733	5161	1870
734	5167	1863
735	5173	1855
736	5179	1848
737	5186	1841
738	5192	1833
739	5198	1826
740	5204	1819
741	5210	1811
742	5216	1804
743	5222	1797
744	5229	1789
745	5235	1782
746	5241	1775
747	5247	1767
748	5253	1760
749	5259	1753
750	5265	1745
751	5271	1738
752	5325	1746
753	5333	1740
754	5342	1733
755	5348	1726
756	5354	1718
757	5361	1711
758	5367	1704
759	5374	1697
760	5381	1690
761	5388	1682
762	5394	1675
763	5401	1668
764	5408	1661
765	5414	1654
766	5421	1647
767	5428	1639
768	5434	1632
769	5441	1625
770	5448	1618
771	5455	1611
772	5461	1603
773	5469	1596
774	5476	1589
775	5482	1582
776	5489	1575
777	5498	1568
778	5505	1561
779	5511	1554
780	5519	1547
781	5543	1545
782	5552	1538
783	5558	1531
784	5565	1524
785	5571	1516
786	5578	1509
787	5585	1502
788	5593	1495
789	5599	1488
790	5606	1481
791	5612	1473
792	5619	1466
793	5625	1459
794	5631	1452
795	5638	1444
796	5643	1437
797	5650	1430
798	5656	1423
799	5663	1415
800	5669	1408
801	5675	1401
802	5681	1393
803	5687	1386
804	5693	1379
805	5699	1371
806	5705	1364
807	5713	1357
808	5719	1350
809	5725	1342
810	5731	1335
811	5737	1328
812	5744	1321
813	5751	1314
814	5757	1306
815	5763	1299
816	5769	1292
817	5776	1285
818	5782	1277
819	5788	1270
820	5794	1263
821	5801	1256
822	5807	1248
823	5813	1241
824	5819	1234
825	5826	1227
826	5832	1220
827	5839	1212
828	5845	1205
829	5851	1198
830	5858	1191
831	5865	1184
832	5872	1177
833	5879	1170
834	5886	1163
835	5893	1156
836	5900	1148
837	5909	1142
838	5917	1135
839	5926	1128
840	5933	1121
841	5941	1114
842	5949	1108
843	5958	1101
844	5966	1094
845	5974	1087
846	5983	1080
847	5993	1074
848	6004	1067
849	6010	1060
850	6020	1054
851	6027	1047
852	6034	1039
853	6041	1032
854	6048	1025
855	6054	1018
856	6060	1011
857	6066	1004
858	6072	996
859	6079	989
860	6085	982
861	6091	975
862	6097	968
863	6103	960
864	6110	953
865	6116	946
866	6122	939
867	6128	931
868	6134	924
869	6141	917
870	6147	910
871	6154	903
872	6201	902
873	6209	895
874	6217	888
875	6225	881
876	6231	874
877	6238	866
878	6244	859
879	6250	852
880	6257	845
881	6264	838
882	6270	830
883	6277	823
884	6283	816
885	6291	809
886	6298	802
887	6304	795
888	6311	788
889	6318	780
890	6324	773
891	6330	766
892	6336	759
893	6344	752
894	6351	745
895	6357	737
896	6363	730
897	6370	723
898	6390	717
899	6397	710
900	6403	703
901	6410	696
902	6416	689
903	6422	682
904	6428	674
905	6434	667
906	6443	660
907	6450	653
908	6458	646
909	6464	639
910	6471	632
911	6478	625
912	6483	617
913	6490	610
914	6496	603
915	6503	596
916	6509	589
917	6515	581
918	6521	574
919	6528	567
920	6534	560
921	6540	553
922	6546	546
923	6552	538
924	6558	531
925	6565	524
926	6571	517
927	6577	510
928	6584	503
929	6590	496
930	6596	488
931	6603	481
932	6609	474
933	6615	467
934	6621	460
935	6628	453
936	6635	446
937	6641	438
938	6647	431
939	6654	424
940	6660	417
941	6667	410
942	6673	403
943	6679	396
944	6685	389
945	6691	381
946	6698	374
947	6704	367
948	6710	360
949	6717	353
950	6724	346
951	6730	339
952	6736	332
953	6743	325
954	6749	318
955	6755	310
956	6761	303
957	6767	296
958	6773	289
959	6779	282
960	6785	275
961	6791	268
962	6798	261
963	6804	254
964	6813	247
965	6819	240
966	6827	233
967	6834	225
968	6840	218
969	6846	211
970	6853	204
971	6859	197
972	6866	190
973	6872	183
974	6878	176
975	6884	169
976	6891	162
977	6897	155
978	6903	148
979	6909	141
980	6915	133
981	6922	126
982	6927	119
983	6934	112
984	6940	105
985	6946	98
986	6952	91
987	6958	84
988	6964	77
989	6971	70
990	6977	63
991	6983	56
992	6989	49
993	6995	42
994	7001	35
995	7007	28
996	7049	21
997	7057	14
998	7065	7
999	7073	0
